Player,Team,Pos,Injury,Status,Est. Return
Divine Deablo,LV,LB,Forearm,IR,Subscribers Only
Dawson Deaton,CLE,C,Knee - ACL,IR,Subscribers Only
Trevor Denbow,IND,S,Undisclosed,IR-R,Subscribers Only
Matt Dickerson,ATL,DE,Coach's Decision,Inactive,Subscribers Only
J.K. Dobbins,BAL,RB,Knee,IR,Subscribers Only
Greg Dortch,ARI,WR,Groin,Questionable,Subscribers Only
Kevin Dotson,PIT,OG,Abdomen,Questionable,Subscribers Only
Romeo Doubs,GB,WR,Ankle,Out,Subscribers Only
Rico Dowdle,DAL,RB,Ankle,IR,Subscribers Only
Tommy Doyle,BUF,OT,Knee - ACL,IR,Subscribers Only
Dakota Dozier,CHI,OG,Knee - ACL,IR,Subscribers Only
Josh Drayden,FA,CB,Undisclosed,Questionable,Subscribers Only
Isaiah Dunn,SEA,CB,Hamstring,IR,Subscribers Only
Michael Dunn,CLE,OG,Back,Questionable,Subscribers Only
Bud Dupree,TEN,LB,Hip,Out,Subscribers Only
Michael Dwumfour,HOU,DE,Undisclosed,IR,Subscribers Only
Jerrion Ealy,FA,RB,Suspension,Out,Subscribers Only
Nate Ebner,FA,S,Ankle,Questionable,Subscribers Only
Samson Ebukam,SF,DE,Quadriceps,Doubtful,Subscribers Only
Tremaine Edmunds,BUF,LB,Groin,Questionable,Subscribers Only
David Edwards,LAR,OG,Concussion,IR,Subscribers Only
Gus Edwards,BAL,RB,Hamstring,Questionable,Subscribers Only
Liam Eichenberg,MIA,OG,Knee - MCL,IR,Subscribers Only
Milo Eifler,WAS,LB,Hamstring,IR,Subscribers Only
Duke Ejiofor,FA,LB,Undisclosed,Questionable,Subscribers Only
Kaiir Elam,BUF,CB,Ankle,Doubtful,Subscribers Only
Pat Elflein,CAR,C,Hip,IR,Subscribers Only
Ben Ellefson,MIN,TE,Groin,IR-R,Subscribers Only
Ezekiel Elliott,DAL,RB,Knee - MCL,Questionable,Subscribers Only
Alex Ellis,FA,TE,Undisclosed,Questionable,Subscribers Only
Noah Elliss,FA,DT,Undisclosed,Questionable,Subscribers Only
Donnie Ernsberger,FA,TE,Undisclosed,Questionable,Subscribers Only
Tyler Ervin,FA,RB,Foot,Questionable,Subscribers Only
Drew Estrada,FA,WR,Achilles,Out,Subscribers Only
Chris Evans,CIN,RB,Knee,Questionable,Subscribers Only
Jequez Ezzard,FA,WR,Undisclosed,Questionable,Subscribers Only
George Fant,NYJ,OT,Knee,IR,Subscribers Only
Matt Farniok,DAL,C,Hamstring,IR,Subscribers Only
Simi Fehoko,DAL,WR,Shoulder,IR,Subscribers Only
Sharif Finch,FA,LB,Undisclosed,Questionable,Subscribers Only
B.J. Finney,FA,OG,Back,Questionable,Subscribers Only
Anthony Firkser,ATL,TE,Coach's Decision,Inactive,Subscribers Only
John FitzPatrick,ATL,TE,Undisclosed,IR,Subscribers Only
Cameron Fleming,DEN,OT,Quadriceps,Questionable,Subscribers Only
Cor'Dale Flott,NYG,CB,Calf,Questionable,Subscribers Only
Tre Flowers,CIN,CB,Hamstring,Questionable,Subscribers Only
Trey Flowers,MIA,LB,Foot,IR,Subscribers Only
Cody Ford,ARI,OG,Illness,Questionable,Subscribers Only
Dee Ford,FA,DE,Back,Questionable,Subscribers Only
L.J. Fort,FA,LB,Knee - ACL,Questionable,Subscribers Only
Robert Foster,FA,WR,Hamstring,Questionable,Subscribers Only
John Franklin,FA,WR,Knee - ACL,Questionable,Subscribers Only
Feleipe Franks,ATL,TE,Calf,Inactive,Subscribers Only
Jordan Fuller,LAR,S,Hamstring,IR,Subscribers Only
Kyle Fuller,BAL,CB,Knee - ACL,IR,Subscribers Only
Will Fuller,FA,WR,Finger,Questionable,Subscribers Only
Kristian Fulton,TEN,CB,Hamstring,Questionable,Subscribers Only
Russell Gage,TB,WR,Hamstring,Out,Subscribers Only
Greg Gaines,LAR,DT,Elbow,Doubtful,Subscribers Only
Tipa Galeai,GB,LB,Hamstring,IR-R,Subscribers Only
Max Garcia,ARI,C,Shoulder,Out,Subscribers Only
Jamell Garcia-Williams,FA,DE,Undisclosed,Questionable,Subscribers Only
Dennis Gardeck,ARI,LB,Ankle,Questionable,Subscribers Only
Ben Garland,FA,C,Calf,Questionable,Subscribers Only
Rashan Gary,GB,LB,Knee - ACL,IR,Subscribers Only
Cam Gill,TB,LB,Foot,IR,Subscribers Only
Cullen Gillaspia,SEA,LB,Knee,IR,Subscribers Only
Jordan Glasgow,FA,LB,Undisclosed,Questionable,Subscribers Only
Luke Goedeke,TB,OG,Foot,Out,Subscribers Only
Kenny Golladay,NYG,WR,Knee - MCL,Questionable,Subscribers Only
Matt Gono,FA,OT,Neck,Questionable,Subscribers Only
Zane Gonzalez,CAR,K,Groin,IR,Subscribers Only
Marquise Goodwin,SEA,WR,Groin,Questionable,Subscribers Only
Jaeden Graham,FA,TE,Undisclosed,Questionable,Subscribers Only
Isaiah Graham-Mobley,FA,LB,Undisclosed,Questionable,Subscribers Only
Jakeem Grant,CLE,WR,Achilles,IR,Subscribers Only
Virgil Green,FA,TE,Ankle,Questionable,Subscribers Only
Jonathan Greenard,HOU,DE,Calf,IR,Subscribers Only
Raven Greene,FA,S,Undisclosed,Questionable,Subscribers Only
Ethan Greenidge,NO,OT,Knee,IR,Subscribers Only
Randy Gregory,DEN,LB,Knee - Meniscus,IR,Subscribers Only
Everson Griffen,FA,DE,Personal,Questionable,Subscribers Only
Shaquill Griffin,JAX,CB,Back,IR,Subscribers Only
Trevon Grimes,FA,WR,Undisclosed,Questionable,Subscribers Only
Ryan Groy,FA,OG,Triceps,Questionable,Subscribers Only
Vitaliy Gurman,FA,OG,Undisclosed,Out,Subscribers Only
Porter Gustin,FA,LB,Undisclosed,Out,Subscribers Only
Jalen Guyton,LAC,WR,Knee - ACL,IR,Subscribers Only
Joe Haeg,CLE,OT,Concussion,IR,Subscribers Only
Grant Haley,LAR,CB,Knee - ACL,IR,Subscribers Only
Breece Hall,NYJ,RB,Knee - ACL,IR,Subscribers Only
Emanuel Hall,FA,WR,Achilles,Questionable,Subscribers Only
Terez Hall,FA,LB,Undisclosed,Questionable,Subscribers Only
DaeSean Hamilton,FA,WR,Knee,Questionable,Subscribers Only
KJ Hamler,DEN,WR,Hamstring,Out,Subscribers Only
