p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles,week,year,plyr_number
arthurmaulet_pit_2022_10,pit_2022_10,arthurmaulet_pit_2022,pit_2022,arthurmaulet,12224,cb,pit,1,0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
sionetakitaki_cle_2022_10,cle_2022_10,sionetakitaki_cle_2022,cle_2022,sionetakitaki,12666,lb,cle,1,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
sameguavoen_mia_2022_10,mia_2022_10,sameguavoen_mia_2022,mia_2022,sameguavoen,15301,lb,mia,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
dexterlawrence_nyg_2022_10,nyg_2022_10,dexterlawrence_nyg_2022,nyg_2022,dexterlawrence,25991,di,nyg,1,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
isaiahmack_bal_2022_10,bal_2022_10,isaiahmack_bal_2022,bal_2022,isaiahmack,26229,di,bal,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
devinbush_pit_2022_10,pit_2022_10,devinbush_pit_2022,pit_2022,devinbush,27375,lb,pit,1,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
dremontjones_den_2022_10,den_2022_10,dremontjones_den_2022,den_2022,dremontjones,28075,di,den,1,1,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
nevillegallimore_dal_2022_10,dal_2022_10,nevillegallimore_dal_2022,dal_2022,nevillegallimore,28094,di,dal,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
kevingivens_sf_2022_10,sf_2022_10,kevingivens_sf_2022,sf_2022,kevingivens,28308,di,sf,1,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
chrisboard_det_2022_10,det_2022_10,chrisboard_det_2022,det_2022,chrisboard,29456,lb,det,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
deedelaney_tb_2022_10,tb_2022_10,deedelaney_tb_2022,tb_2022,deedelaney,31078,s,tb,1,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
taecrowder_nyg_2022_10,nyg_2022_10,taecrowder_nyg_2022,nyg_2022,taecrowder,35774,lb,nyg,1,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jonasgriffith_den_2022_10,den_2022_10,jonasgriffith_den_2022,den_2022,jonasgriffith,35858,lb,den,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
austinbryant_det_2022_10,det_2022_10,austinbryant_det_2022,det_2022,austinbryant,36248,ed,det,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jordankunaszyk_cle_2022_10,cle_2022_10,jordankunaszyk_cle_2022,cle_2022,jordankunaszyk,38548,lb,cle,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
ericwilson_gb_2022_10,gb_2022_10,ericwilson_gb_2022,gb_2022,ericwilson,38587,lb,gb,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
trevondiggs_dal_2022_10,dal_2022_10,trevondiggs_dal_2022,dal_2022,trevondiggs,41817,cb,dal,1,1,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jonathankongbo_den_2022_10,den_2022_10,jonathankongbo_den_2022,den_2022,jonathankongbo,42433,ed,den,1,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
tomonfox_nyg_2022_10,nyg_2022_10,tomonfox_nyg_2022,nyg_2022,tomonfox,42486,ed,nyg,1,2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
shaunbradley_phi_2022_10,phi_2022_10,shaunbradley_phi_2022,phi_2022,shaunbradley,42632,lb,phi,1,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
chaunceygolston_dal_2022_10,dal_2022_10,chaunceygolston_dal_2022,dal_2022,chaunceygolston,42718,di,dal,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
nickbosa_sf_2022_10,sf_2022_10,nickbosa_sf_2022,sf_2022,nickbosa,42741,ed,sf,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
osaodighizuwa_dal_2022_10,dal_2022_10,osaodighizuwa_dal_2022,dal_2022,osaodighizuwa,42754,di,dal,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jonathoncooper_den_2022_10,den_2022_10,jonathoncooper_den_2022,den_2022,jonathoncooper,43021,ed,den,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
charvariusward_sf_2022_10,sf_2022_10,charvariusward_sf_2022,sf_2022,charvariusward,43034,cb,sf,1,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
mackwilson_ne_2022_10,ne_2022_10,mackwilson_ne_2022,ne_2022,mackwilson,43190,lb,ne,1,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
greedywilliams_cle_2022_10,cle_2022_10,greedywilliams_cle_2022,cle_2022,greedywilliams,43254,cb,cle,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
alexhighsmith_pit_2022_10,pit_2022_10,alexhighsmith_pit_2022,pit_2022,alexhighsmith,43507,ed,pit,1,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
kobejones_gb_2022_10,gb_2022_10,kobejones_gb_2022,gb_2022,kobejones,43511,ed,gb,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
elersonsmith_nyg_2022_10,nyg_2022_10,elersonsmith_nyg_2022,nyg_2022,elersonsmith,43766,ed,nyg,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
isaiahhloudermilk_pit_2022_10,pit_2022_10,isaiahhloudermilk_pit_2022,pit_2022,isaiahhloudermilk,44416,ed,pit,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
zechmcphearson_phi_2022_10,phi_2022_10,zechmcphearson_phi_2022,phi_2022,zechmcphearson,45464,cb,phi,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
demoneharris_hou_2022_10,hou_2022_10,demoneharris_hou_2022,hou_2022,demoneharris,48452,ed,hou,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
dorancearmstrong_dal_2022_10,dal_2022_10,dorancearmstrong_dal_2022,dal_2022,dorancearmstrong,48557,ed,dal,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
malikreed_pit_2022_10,pit_2022_10,malikreed_pit_2022,pit_2022,malikreed,48567,ed,pit,1,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
carlosdavis_pit_2022_10,pit_2022_10,carlosdavis_pit_2022,pit_2022,carlosdavis,48662,di,pit,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
tavenbryan_cle_2022_10,cle_2022_10,tavenbryan_cle_2022,cle_2022,tavenbryan,48753,di,cle,1,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
deadrinsenat_tb_2022_10,tb_2022_10,deadrinsenat_tb_2022,tb_2022,deadrinsenat,48815,di,tb,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
kevinstrongjr_ten_2022_10,ten_2022_10,kevinstrongjr_ten_2022,ten_2022,kevinstrongjr,48981,di,ten,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
kendalvickers_lv_2022_10,lv_2022_10,kendalvickers_lv_2022,lv_2022,kendalvickers,48993,di,lv,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
treflowers_cin_2022_10,cin_2022_10,treflowers_cin_2022,cin_2022,treflowers,49059,cb,cin,1,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
andrewwingard_jax_2022_10,jax_2022_10,andrewwingard_jax_2022,jax_2022,andrewwingard,49268,s,jax,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
donovanwilson_dal_2022_10,dal_2022_10,donovanwilson_dal_2022,dal_2022,donovanwilson,49408,s,dal,1,1,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
nickmccloud_nyg_2022_10,nyg_2022_10,nickmccloud_nyg_2022,nyg_2022,nickmccloud,49535,cb,nyg,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jujuhughes_det_2022_10,det_2022_10,jujuhughes_det_2022,det_2022,jujuhughes,49545,s,det,1,1,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jacobmartin_nyj_2022_10,nyj_2022_10,jacobmartin_nyj_2022,nyj_2022,jacobmartin,50152,ed,nyj,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
orenburks_sf_2022_10,sf_2022_10,orenburks_sf_2022,sf_2022,orenburks,50203,lb,sf,1,1,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
michaelojemudia_den_2022_10,den_2022_10,michaelojemudia_den_2022,den_2022,michaelojemudia,50327,cb,den,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
ajgreen_cle_2022_10,cle_2022_10,ajgreen_cle_2022,cle_2022,ajgreen,50394,cb,cle,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jeremyreaves_was_2022_10,was_2022_10,jeremyreaves_was_2022,was_2022,jeremyreaves,50406,s,was,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
mikeford_atl_2022_10,atl_2022_10,mikeford_atl_2022,atl_2022,mikeford,50535,cb,atl,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
charlesomenihu_sf_2022_10,sf_2022_10,charlesomenihu_sf_2022,sf_2022,charlesomenihu,50612,ed,sf,1,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
joseyjewell_den_2022_10,den_2022_10,joseyjewell_den_2022,den_2022,joseyjewell,50720,lb,den,1,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
robertspillane_pit_2022_10,pit_2022_10,robertspillane_pit_2022,pit_2022,robertspillane,50918,lb,pit,1,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
leightonvanderesch_dal_2022_10,dal_2022_10,leightonvanderesch_dal_2022,dal_2022,leightonvanderesch,50950,lb,dal,1,2,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
julianlove_nyg_2022_10,nyg_2022_10,julianlove_nyg_2022,nyg_2022,julianlove,51081,s,nyg,1,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
minkahfitzpatrick_pit_2022_10,pit_2022_10,minkahfitzpatrick_pit_2022,pit_2022,minkahfitzpatrick,51206,s,pit,1,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
fredwarner_sf_2022_10,sf_2022_10,fredwarner_sf_2022,sf_2022,fredwarner,51222,lb,sf,1,3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
terrelledmunds_pit_2022_10,pit_2022_10,terrelledmunds_pit_2022,pit_2022,terrelledmunds,51334,s,pit,1,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
lonniejohnsonjr_ten_2022_10,ten_2022_10,lonniejohnsonjr_ten_2022,ten_2022,lonniejohnsonjr,55615,s,ten,1,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
josiahscott_phi_2022_10,phi_2022_10,josiahscott_phi_2022,phi_2022,josiahscott,55634,cb,phi,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
trenorwood_pit_2022_10,pit_2022_10,trenorwood_pit_2022,pit_2022,trenorwood,55675,s,pit,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
deommodorelenoir_sf_2022_10,sf_2022_10,deommodorelenoir_sf_2022,sf_2022,deommodorelenoir,55686,cb,sf,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
ajparker_det_2022_10,det_2022_10,ajparker_det_2022,det_2022,ajparker,55983,cb,det,1,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
markquesebell_dal_2022_10,dal_2022_10,markquesebell_dal_2022,dal_2022,markquesebell,56033,s,dal,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
ambrythomas_sf_2022_10,sf_2022_10,ambrythomas_sf_2022,sf_2022,ambrythomas,56058,cb,sf,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
damarrimathis_den_2022_10,den_2022_10,damarrimathis_den_2022,den_2022,damarrimathis,56143,cb,den,1,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
daronbland_dal_2022_10,dal_2022_10,daronbland_dal_2022,dal_2022,daronbland,56158,cb,dal,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
darnayholmes_nyg_2022_10,nyg_2022_10,darnayholmes_nyg_2022,nyg_2022,darnayholmes,56247,cb,nyg,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
matthenningsen_den_2022_10,den_2022_10,matthenningsen_den_2022,den_2022,matthenningsen,56484,di,den,1,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
quintonbohanna_dal_2022_10,dal_2022_10,quintonbohanna_dal_2022,dal_2022,quintonbohanna,56673,di,dal,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jordanelliott_cle_2022_10,cle_2022_10,jordanelliott_cle_2022,cle_2022,jordanelliott,56734,di,cle,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
isaiahthomas_cle_2022_10,cle_2022_10,isaiahthomas_cle_2022,cle_2022,isaiahthomas,56798,ed,cle,1,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
larrellmurchison_ten_2022_10,ten_2022_10,larrellmurchison_ten_2022,ten_2022,larrellmurchison,57004,di,ten,1,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
tonyfieldsii_cle_2022_10,cle_2022_10,tonyfieldsii_cle_2022,cle_2022,tonyfieldsii,57698,lb,cle,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
kyronjohnson_phi_2022_10,phi_2022_10,kyronjohnson_phi_2022,phi_2022,kyronjohnson,57890,ed,phi,1,0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jamespierre_pit_2022_10,pit_2022_10,jamespierre_pit_2022,pit_2022,jamespierre,60649,cb,pit,1,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
grantdelpit_cle_2022_10,cle_2022_10,grantdelpit_cle_2022,cle_2022,grantdelpit,60685,s,cle,1,2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
joshuahbledsoe_ne_2022_10,ne_2022_10,joshuahbledsoe_ne_2022,ne_2022,joshuahbledsoe,60691,s,ne,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
