p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,week,year,plyr_number
yodnycajuste_ne_2022_10,ne_2022_10,yodnycajuste_ne_2022,ne_2022,yodnycajuste,46297,t,ne,1,0,19,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
terronarmstead_mia_2022_10,mia_2022_10,terronarmstead_mia_2022,mia_2022,terronarmstead,7856,t,mia,1,0,17,70.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
tedkarras_cin_2022_10,cin_2022_10,tedkarras_cin_2022,cin_2022,tedkarras,10855,ol,cin,1,0,7,82.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
brandonshell_mia_2022_10,mia_2022_10,brandonshell_mia_2022,mia_2022,brandonshell,10792,t,mia,1,0,17,56.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jamesferentz_ne_2022_10,ne_2022_10,jamesferentz_ne_2022,ne_2022,jamesferentz,9258,ol,ne,1,0,19,84.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
taylormoton_car_2022_10,car_2022_10,taylormoton_car_2022,car_2022,taylormoton,11819,t,car,1,0,5,75.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jawaantaylor_jax_2022_10,jax_2022_10,jawaantaylor_jax_2022,jax_2022,jawaantaylor,41665,t,jax,1,0,15,31.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
chandlerbrewer_lar_2022_10,lar_2022_10,chandlerbrewer_lar_2022,lar_2022,chandlerbrewer,13976,g,lar,1,0,26,77.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
austincorbett_car_2022_10,car_2022_10,austincorbett_car_2022,car_2022,austincorbett,46290,g,car,1,0,5,82.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
ikemekwonu_car_2022_10,car_2022_10,ikemekwonu_car_2022,car_2022,ikemekwonu,98286,t,car,1,0,5,69.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
bradychristensen_car_2022_10,car_2022_10,bradychristensen_car_2022,car_2022,bradychristensen,51985,g,car,1,0,5,77.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
brianallen_lar_2022_10,lar_2022_10,brianallen_lar_2022,lar_2022,brianallen,46104,ol,lar,1,0,26,41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
robhavenstein_lar_2022_10,lar_2022_10,robhavenstein_lar_2022,lar_2022,robhavenstein,9490,t,lar,1,0,26,80.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
camrobinson_jax_2022_10,jax_2022_10,camrobinson_jax_2022,jax_2022,camrobinson,11789,t,jax,1,0,15,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
