p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,week,year,plyr_number
marlonhumphrey_bal_2022_15,bal_2022_15,marlonhumphrey_bal_2022,bal_2022,marlonhumphrey,11771,cb,bal,1,31,7.8,5.2,0,0,0,0,0,0,0,0,0,15,2022,15
shaqthompson_car_2022_15,car_2022_15,shaqthompson_car_2022,car_2022,shaqthompson,9458,lb,car,1,7,7.0,7.0,0,0,0,0,0,0,0,0,0,15,2022,15
jalenmills_ne_2022_15,ne_2022_15,jalenmills_ne_2022,ne_2022,jalenmills,10867,cb,ne,1,6,6.0,6.0,0,0,0,0,0,0,0,0,0,15,2022,15
treflowers_cin_2022_15,cin_2022_15,treflowers_cin_2022,cin_2022,treflowers,49059,cb,cin,1,6,6.0,6.0,0,0,0,0,0,0,0,0,0,15,2022,15
roquansmith_bal_2022_15,bal_2022_15,roquansmith_bal_2022,bal_2022,roquansmith,50892,lb,bal,1,6,6.0,6.0,0,0,0,0,0,0,0,0,0,15,2022,15
jalenreevesmaybin_hou_2022_15,hou_2022_15,jalenreevesmaybin_hou_2022,hou_2022,jalenreevesmaybin,11879,lb,hou,1,10,5.0,5.0,0,0,0,0,0,0,0,0,0,15,2022,15
thomasgrahamjr_cle_2022_15,cle_2022_15,thomasgrahamjr_cle_2022,cle_2022,thomasgrahamjr,55685,cb,cle,1,29,4.8,4.8,0,0,0,0,0,0,0,0,0,15,2022,15
kennymooreii_ind_2022_15,ind_2022_15,kennymooreii_ind_2022,ind_2022,kennymooreii,51596,cb,ind,1,22,4.4,3.7,0,0,0,0,0,0,0,0,0,15,2022,15
chrisharrisjr_no_2022_15,no_2022_15,chrisharrisjr_no_2022,no_2022,chrisharrisjr,6457,cb,no,1,21,4.2,3.5,0,0,0,0,0,0,0,0,0,15,2022,15
damoneclark_dal_2022_15,dal_2022_15,damoneclark_dal_2022,dal_2022,damoneclark,81282,lb,dal,1,4,4.0,4.0,0,0,0,0,0,0,0,0,0,15,2022,15
camtaylorbritt_cin_2022_15,cin_2022_15,camtaylorbritt_cin_2022,cin_2022,camtaylorbritt,83326,cb,cin,1,3,3.0,3.0,0,0,0,0,0,0,0,0,0,15,2022,15
matthewadams_chi_2022_15,chi_2022_15,matthewadams_chi_2022,chi_2022,matthewadams,38526,lb,chi,1,3,3.0,3.0,0,0,0,0,0,0,0,0,0,15,2022,15
mykalwalker_atl_2022_15,atl_2022_15,mykalwalker_atl_2022,atl_2022,mykalwalker,57834,lb,atl,1,3,3.0,3.0,0,0,0,0,0,0,0,0,0,15,2022,15
