p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception,week,year,plyr_number
marcusmaye_no_2022_15,no_2022_15,marcusmaye_no_2022,no_2022,marcusmaye,11794,s,no,1,0,21.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
justinevans_no_2022_15,no_2022_15,justinevans_no_2022,no_2022,justinevans,11805,s,no,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
teeztabor_sea_2022_15,sea_2022_15,teeztabor_sea_2022,sea_2022,teeztabor,11808,s,sea,1,0,17.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
rasuldouglas_gb_2022_15,gb_2022_15,rasuldouglas_gb_2022,gb_2022,rasuldouglas,11854,cb,gb,1,1,6.8,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
rudyford_gb_2022_15,gb_2022_15,rudyford_gb_2022,gb_2022,rudyford,11963,s,gb,1,0,16.0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
isaiahrodgers_ind_2022_15,ind_2022_15,isaiahrodgers_ind_2022,ind_2022,isaiahrodgers,27069,cb,ind,1,0,8.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
davidlongjr_lar_2022_15,lar_2022_15,davidlongjr_lar_2022,lar_2022,davidlongjr,27377,cb,lar,1,0,12.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
malikharrison_bal_2022_15,bal_2022_15,malikharrison_bal_2022,bal_2022,malikharrison,28081,lb,bal,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
zackbaun_no_2022_15,no_2022_15,zackbaun_no_2022,no_2022,zackbaun,34632,lb,no,1,0,11.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
matthewadams_chi_2022_15,chi_2022_15,matthewadams_chi_2022,chi_2022,matthewadams,38526,lb,chi,1,0,-1.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
kristianfulton_ten_2022_15,ten_2022_15,kristianfulton_ten_2022,ten_2022,kristianfulton,42894,cb,ten,1,0,25.3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
mackwilson_ne_2022_15,ne_2022_15,mackwilson_ne_2022,ne_2022,mackwilson,43190,lb,ne,1,1,4.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
richiegrant_atl_2022_15,atl_2022_15,richiegrant_atl_2022,atl_2022,richiegrant,43196,s,atl,1,0,10.0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
greedywilliams_cle_2022_15,cle_2022_15,greedywilliams_cle_2022,cle_2022,greedywilliams,43254,cb,cle,1,1,17.5,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
christianholmes_was_2022_15,was_2022_15,christianholmes_was_2022,was_2022,christianholmes,43393,cb,was,1,0,13.3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
essangbassey_den_2022_15,den_2022_15,essangbassey_den_2022,den_2022,essangbassey,45258,cb,den,1,0,7.5,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
brandonstephens_bal_2022_15,bal_2022_15,brandonstephens_bal_2022,bal_2022,brandonstephens,45644,cb,bal,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
joshwoods_det_2022_15,det_2022_15,joshwoods_det_2022,det_2022,joshwoods,49023,lb,det,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
jairealexander_gb_2022_15,gb_2022_15,jairealexander_gb_2022,gb_2022,jairealexander,49350,cb,gb,1,0,20.3,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
