,feature,t_stat,t_stat_abs,rsqrd,adj_rsqrd,runNum
773,inj_grade_dl_fav,2.004058462,2.004114296,0.080783913,0.006307438,100246.6301
2696,rec_depth_medium_routes_rec_depth_dog,1.983909247,1.987089807,0.080991213,0.006466086,99402.64732
3383,rush_summary_zone_attempts_rush_fav,-1.968220474,1.982502066,0.081479571,0.006542454,100660.5901
2986,rec_depth_short_targets_rec_depth_dog,-1.966259173,1.976535467,0.081110224,0.006573526,100738.8814
1179,pass_depth_medium_accuracy_percent_passdepth_fav,-1.970397655,1.973471963,0.080761639,0.006220014,99109.99219
3366,rush_summary_scrambles_rush_dog,-1.966236328,1.968890429,0.080431838,0.006280638,100355.2305
2778,rec_depth_right_deepcaught_percent_rec_depth_fav,1.948841858,1.965398739,0.081307818,0.006312414,99966.44196
2700,rec_depth_medium_targets_percent_rec_depth_dog,1.959275788,1.964950797,0.080743482,0.006764206,101076.7274
2702,rec_depth_medium_targets_rec_depth_dog,1.842882658,1.964388859,0.08038269,0.00655663,100709.1204
1613,pass_under_pressure_blitz_passing_snaps_pass_pressure_dog,-1.939145933,1.962736538,0.081025637,0.006698838,100058.1552
851,kicks_fav,1.955617701,1.957495822,0.080385988,0.006324703,99853.76852
1960,punting_total_net_yards_dog,1.894785387,1.955216067,0.081470191,0.006446266,100101.3435
3110,rec_scheme_zone_yards_after_catch_per_reception_rec_schem_dog,1.953041566,1.953076021,0.081028756,0.006307463,99537.29213
1374,pass_summary_grades_run_passing_dog,1.945911323,1.948209176,0.080408309,0.006351909,100316.7908
2956,rec_depth_short_drops_rec_depth_dog,-1.93803314,1.938777896,0.080558435,0.0062515,99586.02952
2980,rec_depth_short_routes_rec_depth_dog,-1.82915812,1.933973703,0.080978455,0.00647272,99901.86868
1647,pass_under_pressure_grades_run_pass_pressure_dog,1.924047979,1.930276982,0.080558014,0.00623279,99064.47279
1715,pass_under_pressure_no_blitz_touchdowns_pass_pressure_dog,1.928782863,1.928890114,0.080674003,0.006146538,99289.03888
577,def_summary_snap_counts_dl_outside_t_def_cov_fav,1.918909709,1.926271716,0.080835037,0.006242836,98705.4854
1947,punting_out_of_bounds_fav,1.91902323,1.91902323,0.080403768,0.006160618,100760.1448
3318,rush_summary_elu_recv_mtf_rush_dog,1.918805927,1.918805927,0.080421935,0.005896044,99422.42647
1765,pass_under_pressure_no_pressure_grades_run_pass_pressure_dog,1.915512326,1.918001392,0.080800466,0.006185633,99759.18168
3087,rec_scheme_zone_interceptions_rec_schem_fav,-1.915822382,1.917647109,0.081012849,0.006168653,100350.5805
1989,rec_concept_screen_fumbles_rec_concept_fav,-1.914797055,1.914797055,0.080943195,0.00624756,100480.2768
573,def_summary_snap_counts_dl_def_cov_fav,1.899779702,1.909693888,0.081135796,0.006285155,100817.1483
1052,pass_concept_screen_grades_pass_pass_conc_dog,-1.906477604,1.90711746,0.08089942,0.006215423,100587.4874
2103,rec_depth_behind_los_drops_rec_depth_fav,1.895958636,1.907074135,0.080001526,0.006029727,100425.4444
3364,rush_summary_scramble_yards_rush_dog,-1.900012168,1.905723421,0.080382214,0.006198806,99688.15906
556,def_summary_snap_counts_dl_a_gap_def_cov_dog,1.905651748,1.905651748,0.081092533,0.006101265,99157.71343
775,inj_grade_hb_fav,-1.899722618,1.899722618,0.080689529,0.006053828,99727.40636
2665,rec_depth_medium_contested_catch_rate_rec_depth_fav,-1.896725486,1.898675229,0.08075387,0.006062726,99894.39219
2991,rec_depth_short_yards_after_catch_per_reception_rec_depth_fav,1.887537906,1.896115745,0.080657741,0.006186547,99292.16217
1942,punting_inside_twenties_dog,1.89518779,1.895198407,0.080515062,0.006217877,100601.4804
2032,rec_concept_slot_caught_percent_rec_concept_dog,-1.895106677,1.895106677,0.080437428,0.0061575,101339.9867
