p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,week,year,plyr_number
tylerbiadasz_dal_2022_14,dal_2022_14,tylerbiadasz_dal_2022,dal_2022,tylerbiadasz,41178,ol,dal,1,100.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
terencesteele_dal_2022_14,dal_2022_14,terencesteele_dal_2022,dal_2022,terencesteele,39461,t,dal,1,100.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jamesdaniels_pit_2022_14,pit_2022_14,jamesdaniels_pit_2022,pit_2022,jamesdaniels,45576,g,pit,1,100.0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
danmoorejr_pit_2022_14,pit_2022_14,danmoorejr_pit_2022,pit_2022,danmoorejr,60120,t,pit,1,100.0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
laremytunsil_hou_2022_14,hou_2022_14,laremytunsil_hou_2022,hou_2022,laremytunsil,10647,t,hou,1,100.0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
masoncole_pit_2022_14,pit_2022_14,masoncole_pit_2022,pit_2022,masoncole,45547,ol,pit,1,100.0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
kevindotson_pit_2022_14,pit_2022_14,kevindotson_pit_2022,pit_2022,kevindotson,46735,g,pit,1,100.0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
scottquessenberry_hou_2022_14,hou_2022_14,scottquessenberry_hou_2022,hou_2022,scottquessenberry,23918,ol,hou,1,100.0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
zackmartin_dal_2022_14,dal_2022_14,zackmartin_dal_2022,dal_2022,zackmartin,8651,g,dal,1,100.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
mattskura_lar_2022_14,lar_2022_14,mattskura_lar_2022,lar_2022,mattskura,11102,g,lar,1,100.0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
chukwumaokorafor_pit_2022_14,pit_2022_14,chukwumaokorafor_pit_2022,pit_2022,chukwumaokorafor,46302,t,pit,1,100.0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
brianallen_lar_2022_14,lar_2022_14,brianallen_lar_2022,lar_2022,brianallen,46104,ol,lar,1,100.0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jasonkelce_phi_2022_14,phi_2022_14,jasonkelce_phi_2022,phi_2022,jasonkelce,6343,ol,phi,1,100.0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
robhavenstein_lar_2022_14,lar_2022_14,robhavenstein_lar_2022,lar_2022,robhavenstein,9490,t,lar,1,100.0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
lanejohnson_phi_2022_14,phi_2022_14,lanejohnson_phi_2022,phi_2022,lanejohnson,7786,t,phi,1,100.0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
colemanshelton_lar_2022_14,lar_2022_14,colemanshelton_lar_2022,lar_2022,colemanshelton,39316,ol,lar,1,100.0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
tynsekhe_lar_2022_14,lar_2022_14,tynsekhe_lar_2022,lar_2022,tynsekhe,7636,t,lar,1,100.0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
