player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,week,year
Blake Gillikin,45045,P,NO,1,2,2,4.13,38.5,40.0,3.0,0,0,0,1,20,59.7,2,46,0,0,50.0,3,1,2,8.26,77,0,80,8,2022
Ryan Stonehouse,52045,P,TEN,1,5,5,4.32,40.8,48.4,6.0,0,0,0,1,31,59.0,4,57,0,0,60.0,18,3,5,21.6,204,1,242,8,2022
Jordan Stout,57649,P,BLT,1,4,4,4.82,44.25,52.5,11.0,0,0,0,1,3,69.3,2,57,0,0,75.0,33,3,4,19.29,177,0,210,8,2022
Trenton Gill,60295,P,CHI,1,4,4,4.14,47.0,50.75,7.5,0,0,1,1,6,55.4,1,62,0,0,50.0,15,2,4,16.54,188,0,203,8,2022
Pressley Harvin III,62973,P,PIT,1,4,4,4.95,43.0,45.0,4.0,0,0,0,1,25,69.3,1,55,1,0,50.0,8,2,4,19.79,172,0,180,8,2022
Jamie Gillan,63303,P,NYG,1,6,6,4.34,47.67,53.67,8.0,0,0,1,2,21,68.3,2,69,0,0,33.3,16,2,6,26.01,286,1,322,8,2022
Ryan Wright,77591,P,MIN,1,5,5,4.57,44.0,46.6,4.3,0,0,0,1,18,65.8,2,58,1,0,60.0,13,3,5,22.83,220,0,233,8,2022
Arryn Siposs,82019,P,PHI,1,4,4,4.4,43.25,45.75,10.0,0,0,2,1,24,59.9,1,49,0,0,25.0,10,1,4,17.61,173,0,183,8,2022
Jake Camarda,82636,P,TB,1,5,5,4.4,44.0,53.4,9.0,0,0,1,0,30,66.1,2,66,0,0,60.0,27,3,5,22.02,220,1,267,8,2022
Andy Lee,1906,P,ARZ,1,6,6,4.27,44.17,48.0,7.7,0,0,1,2,1,54.0,1,65,0,0,50.0,23,3,6,25.63,265,0,288,9,2022
Kevin Huber,5066,P,CIN,1,3,3,4.1,38.33,40.0,5.0,0,0,1,1,7,55.9,1,44,0,0,33.3,5,1,3,12.29,115,0,120,9,2022
Thomas Morstead,5088,P,MIA,1,1,1,3.86,49.0,51.0,2.0,0,0,0,0,17,60.0,0,51,0,0,100.0,2,1,1,3.86,49,0,51,9,2022
Johnny Hekker,7252,P,CAR,1,5,5,4.36,43.6,54.0,17.3,0,0,0,2,5,66.6,2,63,0,0,60.0,52,3,5,21.78,218,0,270,9,2022
Sam Martin,7947,P,BUF,1,2,2,4.28,45.5,55.5,,0,0,1,0,4,60.2,1,61,0,0,0.0,0,0,2,8.56,91,1,111,9,2022
Tress Way,8358,P,WAS,1,5,5,4.43,41.8,48.0,5.5,0,0,1,1,32,59.7,3,57,0,0,40.0,11,2,5,22.17,209,1,240,9,2022
Pat O'Donnell,8826,P,GB,1,1,1,4.39,31.0,31.0,,0,0,0,1,12,60.0,1,31,0,0,0.0,0,0,1,4.39,31,0,31,9,2022
Bradley Pinion,9598,P,ATL,1,4,4,4.39,43.75,51.0,9.7,0,0,1,0,2,55.4,0,57,0,0,75.0,29,3,4,17.56,175,0,204,9,2022
Riley Dixon,10862,P,LA,1,9,9,4.46,43.89,53.0,10.3,0,0,0,1,26,76.8,2,64,0,0,88.9,82,8,9,40.1,395,0,477,9,2022
Matt Haack,12212,P,IND,1,8,8,4.4,39.25,43.5,11.3,1,0,1,2,14,59.2,2,54,2,0,37.5,34,3,9,35.16,314,0,348,9,2022
Cameron Johnston,12255,P,HST,1,4,4,4.04,40.0,52.0,8.0,0,0,0,1,13,64.5,1,67,0,0,25.0,8,1,4,16.17,160,2,208,9,2022
Logan Cooke,29214,P,JAX,1,3,3,4.53,44.67,54.33,9.7,0,0,0,0,15,60.3,0,60,0,0,100.0,29,3,3,13.6,134,0,163,9,2022
