p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play,week,year,plyr_number
roberthainsey_tb_2022_11,tb_2022_11,roberthainsey_tb_2022,tb_2022,roberthainsey,59980,ol,tb,1,0,30,69.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jakebrendel_sf_2022_11,sf_2022_11,jakebrendel_sf_2022,sf_2022,jakebrendel,11117,ol,sf,1,0,28,68.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
georgekittle_sf_2022_11,sf_2022_11,georgekittle_sf_2022,sf_2022,georgekittle,11901,te,sf,1,0,28,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
mikemcglinchey_sf_2022_11,sf_2022_11,mikemcglinchey_sf_2022,sf_2022,mikemcglinchey,46275,t,sf,1,0,28,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
aaronbanks_sf_2022_11,sf_2022_11,aaronbanks_sf_2022,sf_2022,aaronbanks,59983,g,sf,1,0,28,58.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
trentwilliams_sf_2022_11,sf_2022_11,trentwilliams_sf_2022,sf_2022,trentwilliams,5529,t,sf,1,0,28,63.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
davidbakhtiari_gb_2022_11,gb_2022_11,davidbakhtiari_gb_2022,gb_2022,davidbakhtiari,7891,t,gb,1,1,12,59.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
chukwumaokorafor_pit_2022_11,pit_2022_11,chukwumaokorafor_pit_2022,pit_2022,chukwumaokorafor,46302,t,pit,1,0,25,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
elgtonjenkins_gb_2022_11,gb_2022_11,elgtonjenkins_gb_2022,gb_2022,elgtonjenkins,46298,t,gb,1,0,12,49.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jonrunyan_gb_2022_11,gb_2022_11,jonrunyan_gb_2022,gb_2022,jonrunyan,36661,g,gb,1,0,12,75.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
yoshnijman_gb_2022_11,gb_2022_11,yoshnijman_gb_2022,gb_2022,yoshnijman,60822,t,gb,1,0,12,66.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
joshmyers_gb_2022_11,gb_2022_11,joshmyers_gb_2022,gb_2022,joshmyers,59992,ol,gb,1,0,12,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
danmoorejr_pit_2022_11,pit_2022_11,danmoorejr_pit_2022,pit_2022,danmoorejr,60120,t,pit,1,0,25,56.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jamesdaniels_pit_2022_11,pit_2022_11,jamesdaniels_pit_2022,pit_2022,jamesdaniels,45576,g,pit,1,0,25,75.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
masoncole_pit_2022_11,pit_2022_11,masoncole_pit_2022,pit_2022,masoncole,45547,ol,pit,1,0,25,56.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
kevindotson_pit_2022_11,pit_2022_11,kevindotson_pit_2022,pit_2022,kevindotson,46735,g,pit,1,0,25,52.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
lawrencecager_nyg_2022_11,nyg_2022_11,lawrencecager_nyg_2022,nyg_2022,lawrencecager,34914,te,nyg,1,0,21,59.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
rileyreiff_chi_2022_11,chi_2022_11,rileyreiff_chi_2022,chi_2022,rileyreiff,7029,t,chi,1,0,6,58.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
michaelschofieldiii_chi_2022_11,chi_2022_11,michaelschofieldiii_chi_2022,chi_2022,michaelschofieldiii,8730,g,chi,1,0,6,63.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
braxtonjones_chi_2022_11,chi_2022_11,braxtonjones_chi_2022,chi_2022,braxtonjones,60092,t,chi,1,0,6,91.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
codywhitehair_chi_2022_11,chi_2022_11,codywhitehair_chi_2022,chi_2022,codywhitehair,10690,g,chi,1,0,6,64.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
sammustipher_chi_2022_11,chi_2022_11,sammustipher_chi_2022,chi_2022,sammustipher,13026,ol,chi,1,0,6,64.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
zackmartin_dal_2022_11,dal_2022_11,zackmartin_dal_2022,dal_2022,zackmartin,8651,g,dal,1,0,9,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tylersmith_dal_2022_11,dal_2022_11,tylersmith_dal_2022,dal_2022,tylersmith,98385,t,dal,1,0,9,53.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
connormcgovern_dal_2022_11,dal_2022_11,connormcgovern_dal_2022,dal_2022,connormcgovern,41714,g,dal,1,0,9,62.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
brandonshell_mia_2022_11,mia_2022_11,brandonshell_mia_2022,mia_2022,brandonshell,10792,t,mia,1,0,17,74.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
