p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,week,year,plyr_number
jayronkearse_dal_2022_11,dal_2022_11,jayronkearse_dal_2022,dal_2022,jayronkearse,10878,s,dal,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
kylepeko_lv_2022_11,lv_2022_11,kylepeko_lv_2022,lv_2022,kylepeko,11027,di,lv,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
morganfox_lac_2022_11,lac_2022_11,morganfox_lac_2022,lac_2022,morganfox,11184,di,lac,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
corylittleton_car_2022_11,car_2022_11,corylittleton_car_2022,car_2022,corylittleton,11190,lb,car,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
andrewadams_ten_2022_11,ten_2022_11,andrewadams_ten_2022,ten_2022,andrewadams,11240,s,ten,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
royrobertsonharris_jax_2022_11,jax_2022_11,royrobertsonharris_jax_2022,jax_2022,royrobertsonharris,11341,di,jax,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
mylesgarrett_cle_2022_11,cle_2022_11,mylesgarrett_cle_2022,cle_2022,mylesgarrett,11756,ed,cle,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
haasonreddick_phi_2022_11,phi_2022_11,haasonreddick_phi_2022,phi_2022,haasonreddick,11768,ed,phi,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jonathanallen_was_2022_11,was_2022_11,jonathanallen_was_2022,was_2022,jonathanallen,11772,di,was,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
charlesharris_det_2022_11,det_2022_11,charlesharris_det_2022,det_2022,charlesharris,11777,ed,det,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tjwatt_pit_2022_11,pit_2022_11,tjwatt_pit_2022,pit_2022,tjwatt,11785,ed,pit,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
buddabaker_ari_2022_11,ari_2022_11,buddabaker_ari_2022,ari_2022,buddabaker,11791,s,ari,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
demarcuswalker_ten_2022_11,ten_2022_11,demarcuswalker_ten_2022,ten_2022,demarcuswalker,11806,ed,ten,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tanohkpassagnon_no_2022_11,no_2022_11,tanohkpassagnon_no_2022,no_2022,tanohkpassagnon,11814,ed,no,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
larryogunjobi_pit_2022_11,pit_2022_11,larryogunjobi_pit_2022,pit_2022,larryogunjobi,11820,di,pit,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
