p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,week,year,plyr_number
chrisgodwin_tb_2022_11,tb_2022_11,chrisgodwin_tb_2022,tb_2022,chrisgodwin,11839,wr,tb,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
chrismoore_hou_2022_11,hou_2022_11,chrismoore_hou_2022,hou_2022,chrismoore,10741,wr,hou,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
hassanhaskins_ten_2022_11,ten_2022_11,hassanhaskins_ten_2022,ten_2022,hassanhaskins,83701,hb,ten,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
brandonbolden_lv_2022_11,lv_2022_11,brandonbolden_lv_2022,lv_2022,brandonbolden,7469,hb,lv,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
garrettwilson_nyj_2022_11,nyj_2022_11,garrettwilson_nyj_2022,nyj_2022,garrettwilson,97405,wr,nyj,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
travishomer_sea_2022_11,sea_2022_11,travishomer_sea_2022,sea_2022,travishomer,45859,hb,sea,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jakobimeyers_ne_2022_11,ne_2022_11,jakobimeyers_ne_2022,ne_2022,jakobimeyers,47468,wr,ne,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
parriscampbell_ind_2022_11,ind_2022_11,parriscampbell_ind_2022,ind_2022,parriscampbell,47940,wr,ind,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
trentonirwin_cin_2022_11,cin_2022_11,trentonirwin_cin_2022,cin_2022,trentonirwin,48080,wr,cin,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
darnellmooney_chi_2022_11,chi_2022_11,darnellmooney_chi_2022,chi_2022,darnellmooney,48236,wr,chi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
patrickricard_bal_2022_11,bal_2022_11,patrickricard_bal_2022,bal_2022,patrickricard,48862,fb,bal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
deejaydallas_sea_2022_11,sea_2022_11,deejaydallas_sea_2022,sea_2022,deejaydallas,55632,hb,sea,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
chaseclaypool_chi_2022_11,chi_2022_11,chaseclaypool_chi_2022,chi_2022,chaseclaypool,42312,wr,chi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
gregdortch_ari_2022_11,ari_2022_11,gregdortch_ari_2022,ari_2022,gregdortch,42237,wr,ari,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
saquonbarkley_nyg_2022_11,nyg_2022_11,saquonbarkley_nyg_2022,nyg_2022,saquonbarkley,45791,hb,nyg,1,35,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
dontaforeman_car_2022_11,car_2022_11,dontaforeman_car_2022,car_2022,dontaforeman,11844,hb,car,1,31,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
brianrobinsonjr_was_2022_11,was_2022_11,brianrobinsonjr_was_2022,was_2022,brianrobinsonjr,57120,hb,was,1,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
