p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,week,year,plyr_number
devinduvernay_bal_2022_11,bal_2022_11,devinduvernay_bal_2022,bal_2022,devinduvernay,40006,wr,bal,1,3.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
chrisconley_ten_2022_11,ten_2022_11,chrisconley_ten_2022,ten_2022,chrisconley,9509,wr,ten,1,27.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tyronjohnson_hou_2022_11,hou_2022_11,tyronjohnson_hou_2022,hou_2022,tyronjohnson,34427,wr,hou,1,-2.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
sonymichel_lac_2022_11,lac_2022_11,sonymichel_lac_2022,lac_2022,sonymichel,27589,hb,lac,1,3.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
troyhairstonii_hou_2022_11,hou_2022_11,troyhairstonii_hou_2022,hou_2022,troyhairstonii,65088,fb,hou,1,3.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jjtaylor_ne_2022_11,ne_2022_11,jjtaylor_ne_2022,ne_2022,jjtaylor,25512,hb,ne,1,3.0,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
johnnymundt_min_2022_11,min_2022_11,johnnymundt_min_2022,min_2022,johnnymundt,12206,te,min,1,1.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
hassanhaskins_ten_2022_11,ten_2022_11,hassanhaskins_ten_2022,ten_2022,hassanhaskins,83701,hb,ten,1,-5.0,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
isiahpacheco_kc_2022_11,kc_2022_11,isiahpacheco_kc_2022,kc_2022,isiahpacheco,83747,hb,kc,1,-7.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
codyhollister_ten_2022_11,ten_2022_11,codyhollister_ten_2022,ten_2022,codyhollister,12052,wr,ten,1,18.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
dwaynewashington_no_2022_11,no_2022_11,dwaynewashington_no_2022,no_2022,dwaynewashington,10870,hb,no,1,1.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
teaganquitoriano_hou_2022_11,hou_2022_11,teaganquitoriano_hou_2022,hou_2022,teaganquitoriano,84036,te,hou,1,7.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
malcolmbrown_lar_2022_11,lar_2022_11,malcolmbrown_lar_2022,lar_2022,malcolmbrown,9902,hb,lar,1,0.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
daxmilne_was_2022_11,was_2022_11,daxmilne_was_2022,was_2022,daxmilne,84147,wr,was,1,4.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jeffsmith_nyj_2022_11,nyj_2022_11,jeffsmith_nyj_2022,nyj_2022,jeffsmith,48055,wr,nyj,1,6.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
trentonirwin_cin_2022_11,cin_2022_11,trentonirwin_cin_2022,cin_2022,trentonirwin,48080,wr,cin,1,12.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jakekumerow_buf_2022_11,buf_2022_11,jakekumerow_buf_2022,buf_2022,jakekumerow,9883,wr,buf,1,21.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
durhamsmythe_mia_2022_11,mia_2022_11,durhamsmythe_mia_2022,mia_2022,durhamsmythe,47257,te,mia,1,2.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
patrickricard_bal_2022_11,bal_2022_11,patrickricard_bal_2022,bal_2022,patrickricard,48862,fb,bal,1,2.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
stefondiggs_buf_2022_11,buf_2022_11,stefondiggs_buf_2022,buf_2022,stefondiggs,9579,wr,buf,1,8.2,2,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
ceedeelamb_dal_2022_11,dal_2022_11,ceedeelamb_dal_2022,dal_2022,ceedeelamb,61570,wr,dal,1,10.1,3,73.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
justinjefferson_min_2022_11,min_2022_11,justinjefferson_min_2022,min_2022,justinjefferson,61398,wr,min,1,14.5,2,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
deandrehopkins_ari_2022_11,ari_2022_11,deandrehopkins_ari_2022,ari_2022,deandrehopkins,7808,wr,ari,1,6.5,1,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
rondalemoore_ari_2022_11,ari_2022_11,rondalemoore_ari_2022,ari_2022,rondalemoore,62890,wr,ari,1,7.7,1,69.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
amonrastbrown_det_2022_11,det_2022_11,amonrastbrown_det_2022,det_2022,amonrastbrown,84470,wr,det,1,8.4,0,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
davanteadams_lv_2022_11,lv_2022_11,davanteadams_lv_2022,lv_2022,davanteadams,8688,wr,lv,1,10.8,2,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
