unique_id,player_id,value,player_name,match_name,score
isaiahprince_cin_2021_15,isaiahprince_cin_2021,1,isaiahprince_cin_2021,isaiahprince_cin_2021,100.0
rileyreiff_cin_2021_15,rileyreiff_cin_2021,1,rileyreiff_cin_2021,rileyreiff_cin_2021,100.0
xaviersuafilo_cin_2021_15,xaviersuafilo_cin_2021,1,xaviersuafilo_cin_2021,xaviersuafilo_cin_2021,100.0
audentate_cin_2021_15,audentate_cin_2021,1,audentate_cin_2021,audentate_cin_2021,100.0
brandonwilson_cin_2021_15,brandonwilson_cin_2021,1,brandonwilson_cin_2021,brandonwilson_cin_2021,100.0
loganwilson_cin_2021_15,loganwilson_cin_2021,1,loganwilson_cin_2021,loganwilson_cin_2021,100.0
milesaustin_cle_2014_15,milesaustin_cle_2014,1,milesaustin_cle_2014,milesaustin_cle_2014,100.0
garybarnidge_cle_2014_15,garybarnidge_cle_2014,1,garybarnidge_cle_2014,garybarnidge_cle_2014,100.0
armontybryant_cle_2014_15,armontybryant_cle_2014,1,armontybryant_cle_2014,armontybryant_cle_2014,100.0
billycundiff_cle_2014_15,billycundiff_cle_2014,1,billycundiff_cle_2014,billycundiff_cle_2014,100.0
karlosdansby_cle_2014_15,karlosdansby_cle_2014,1,karlosdansby_cle_2014,karlosdansby_cle_2014,100.0
tashaungipson_cle_2014_15,tashaungipson_cle_2014,1,tashaungipson_cle_2014,tashaungipsonsr_cle_2014,96.0
johnhughes_cle_2014_15,johnhughes_cle_2014,1,johnhughes_cle_2014,johnhughes_cle_2014,100.0
alexmack_cle_2014_15,alexmack_cle_2014,1,alexmack_cle_2014,alexmack_cle_2014,100.0
nickmcdonald_cle_2014_15,nickmcdonald_cle_2014,1,nickmcdonald_cle_2014,nickmcdonald_cle_2014,100.0
robertnelson_cle_2014_15,robertnelson_cle_2014,1,robertnelson_cle_2014,robertnelson_cle_2014,100.0
philtaylor_cle_2014_15,philtaylor_cle_2014,1,philtaylor_cle_2014,philtaylorsr_cle_2014,95.0
kwaunwilliams_cle_2014_15,kwaunwilliams_cle_2014,1,kwaunwilliams_cle_2014,kwaunwilliams_cle_2014,100.0
glennwinston_cle_2014_15,glennwinston_cle_2014,1,glennwinston_cle_2014,glennwinston_cle_2014,100.0
joelbitonio_cle_2015_15,joelbitonio_cle_2015,1,joelbitonio_cle_2015,joelbitonio_cle_2015,100.0
justingilbert_cle_2015_15,justingilbert_cle_2015,1,justingilbert_cle_2015,justingilbert_cle_2015,100.0
joehaden_cle_2015_15,joehaden_cle_2015,1,joehaden_cle_2015,joehaden_cle_2015,100.0
brianhartline_cle_2015_15,brianhartline_cle_2015,1,brianhartline_cle_2015,brianhartline_cle_2015,100.0
andrewhawkins_cle_2015_15,andrewhawkins_cle_2015,1,andrewhawkins_cle_2015,andrewhawkins_cle_2015,100.0
malcolmjohnson_cle_2015_15,malcolmjohnson_cle_2015,1,malcolmjohnson_cle_2015,malcolmjohnson_cle_2015,100.0
joshmccown_cle_2015_15,joshmccown_cle_2015,1,joshmccown_cle_2015,joshmccown_cle_2015,100.0
connorshaw_cle_2015_15,connorshaw_cle_2015,1,connorshaw_cle_2015,connorshaw_cle_2015,100.0
scottsolomon_cle_2015_15,scottsolomon_cle_2015,1,scottsolomon_cle_2015,scottsolomon_cle_2015,100.0
kwaunwilliams_cle_2015_15,kwaunwilliams_cle_2015,1,kwaunwilliams_cle_2015,kwaunwilliams_cle_2015,100.0
glennwinston_cle_2015_15,glennwinston_cle_2015,1,glennwinston_cle_2015,glennwinston_cle_2015,100.0
joelbitonio_cle_2016_15,joelbitonio_cle_2016,1,joelbitonio_cle_2016,joelbitonio_cle_2016,100.0
johngreco_cle_2016_15,johngreco_cle_2016,1,johngreco_cle_2016,johngreco_cle_2016,100.0
derrickkindred_cle_2016_15,derrickkindred_cle_2016,1,derrickkindred_cle_2016,derrickkindred_cle_2016,100.0
patrickmurray_cle_2016_15,patrickmurray_cle_2016,1,patrickmurray_cle_2016,patrickmurray_cle_2016,100.0
nateorchard_cle_2016_15,nateorchard_cle_2016,1,nateorchard_cle_2016,nateorchard_cle_2016,100.0
jordanpoyer_cle_2016_15,jordanpoyer_cle_2016,1,jordanpoyer_cle_2016,jordanpoyer_cle_2016,100.0
austinreiter_cle_2016_15,austinreiter_cle_2016,1,austinreiter_cle_2016,austinreiter_cle_2016,100.0
dominiquealexander_cle_2017_15,dominiquealexander_cle_2017,1,dominiquealexander_cle_2017,dominiquealexander_cle_2017,100.0
brieanboddycalhoun_cle_2017_15,brieanboddycalhoun_cle_2017,1,brieanboddycalhoun_cle_2017,brieanboddycalhoun_cle_2017,100.0
